klNHxqN-aK4	20260827	617	The History Of The Israelites	15640
H5r5CisviT8	20260604	11807	In a Game of Fools Without The Rules	21842
mjYPN6fe6DY	20260309	6944	America At War With Iran: Preparation For Conflict	18285
r1rk8TpIX_A	20260224	3041	Our Forefathers Built This; We as Sons Must Preserve This!	21982
6HLJHuzYquc	20260208	105	Esau’s Achilles Heal  [Trailer]	6428
LWGOfVeOKTs	20251202	618	Lying Christians | Excerpt from "The Negro Bible: The Making Of A Slave"	6782
8F_OivZ9pYg	20251201	2263	Matthew 25:1-12 | Excerpt from "The Negro Bible: The Making Of A Slave"	19128
ZiwI9Yiq9cA	20251127	1178	Ezekiel 37:1-11 | Excerpt from “The 4 Temples of Jerusalem”	8457
N4LZhnhIt8E	20241203	74	Giving Tuesday is tomorrow help us complete the film “3 Days Later”! Donate now RoyaltyFilms.Com	8028
P3SqX9IVCxw	20241014	5264	The Hidden Truth About The Feast of Tabernacles	98437
MVbJVpsf2Vo	20240811	55	Mens Conference 2024! Waging war on sin all across the world! The Journey To Redemption!  #BayArea	18466
4fEHRn5rejU	20240807	64	Have you prayed for vengeance? It’s coming don’t worry! 2 Thessalonians 1:6	9655
WVY5LIbRivs	20240804	2980	Feast of Tabernacles 2023	11078
QupQ4KDBWBw	20240401	85	“The insurrection and civil war will be against the righteous! #IUICTV	7724
vo7rOXn568w	20240328	89	“He that loseth his life shall find it!”	5441
9YNB-9a_AGM	20240328	64	Tune Into “The Power Hour” ever Wednesday at 10pm est	2422
DIxVZoHEivs	20240322	90	“He who overcometh will rule over the nations!”	3306
Vx4tqlITIfE	20240322	90	“He who overcometh will rule over the nations!”	1876
T6jwWgScUMc	20240317	85	“They have changed the image of God to white men and birds!”	3365
10uZ3bn5GNM	20240316	67	The Abimelech Code on #IUICTV app	4385
gS0r7hXoZgw	20240303	38	The Prophets Break ground in Italy! 🇮🇹 #Italia #Rome #diaspora	4707
G6Um6fJj0oQ	20240224	79	Evening Sabbath Class  “Judgement for the Mysteries of God” on #IUICTV app & #IUICintheClassroom	3672
xMaC7op9eCI	20240224	70	Come out and join us in your local school today! Call 855-484-4842 to get in contact with us!	2618
e4lxfrqV40Y	20240115	57	Coming Soon The Full Album from The Pen “Journey To Freedom” will be available for all the world!!	4479
ANEux36zFOU	20231220	185	#MotivationMondays Inspiring Words from the Deacons	4135
5bge36gZ3ug	20231020	100	TRAILER | THE PLOT & DEVASTATION OF GAZA IN THE BIBLE | Friday @4pm	11515
4DbhCfFMgT4	20231014	3245	AMARE STOUDAMIRE & THE ISRAELI WAR	145535
uIMccr6nLMU	20231001	124	LIVE Listening Party for the First Ever VIDEO ALBUM October 6th on FIXX YA FACE	5884
7fhMrOo6Ujs	20230718	1834	Black on Black Violence: in Service to WHITE DOMINATION	9053
S9URTJZf1gI	20230709	109	Story Time with General… watch full class “Lazarus & the Lake of Fire”  #IUICTv #Youtube  #Facebook	6342
DABTWkqCAH4	20230516	70	Justice For Rasheem Carter | Touch One You Touch Us All	3337
VWh0WZ6ZdQY	20230403	178	The Leader of IUIC Requests Sit Down with Jewish Leaders	19027
g_ywdrp1hbU	20230331	138	Our Ancestors Always Knew Who The #Antichrist Was | #iuictv #iuicintheclassroom	13886
GS-YpMmtSxk	20230330	138	Excerpt: “Global Racism Against God’s Black People” #IUICEvents2	5482
YvXpHZUjUxI	20230321	68	Excerpt from “ 3 Abrahamic Houses Uniting the World in Sin” available now on #IUICEvents2 👇🏿👇🏿	5153
V3iwKxbt3ZM	20230205	31	NEW CHANNEL - IUICEVENTS2  | SUBSCRIBE NOW!	4928
mQJf34BY7wg	20230205	68	BREAKING GROUND IN SPAIN	4615
Lrt4u05TEg4	20230123	384	The Star of David is Idolatry | excerpt: “Faith is Bigger than Fear”	11956
7rYPvyhvvXA	20230118	122	The Story of Sister Set It Off 🔫💰 & Divine Intervention	5983
l_rRcaXT4Zo	20230117	60	January 16, 2023	2513
yk8pOJswPlg	20221122	267	PUBLIC SERVICE ANNOUNCEMENT TO BLACK ATHLETES & ENTERTAINERS	19619
Fz9yrlsI4Y4	20221113	130	SPOKEN: VOICE OF THE VOICELESS!!! Documentary coming Soon to IUIC TV AND OTHER PLATFORMS!	6916
l1vWx_0R9Rg	20221106	39	Israel the Time is Now	8729
rCF1RtyZnKs	20221031	97	OPEN CHALLENGE TO THE ✡️ #JEWISH COMMUNITY ✡️	6320
2m8jVIrelQE	20221030	83	PSA to all celebrities!! If you want to go to war you need an Army! We ain’t hard to find!	4684
kGQ0391lKLk	20221020	7318	#IUIC | Murmuring Is Unprofitable	9113
GusxbS6IZ-c	20221018	1115	#IUIC | MODERN WARFARE IS IN THE BIBLE	9168
sUBiNaN_c7Q	20221011	8703	#IUIC | Evil Black Women & Weak Men That Follow	22408
zt_x_2E3Bv0	20221010	8439	#IUIC |STAND UP AND BE COUNTED #bible #biblestudy #scripture	42533
Aiok9-6FrT0	20221010	11125	#IUIC | Overcoming When Satan Enters In |	273128
9llsVmdsPWo	20220930	8479	#IUIC | SAINTS & the CITY | TABERNACLES OPENING CLASS with BISHOP YAWASAP #feastoftabernacles	16784
liMF7agOzio	20220725	7214	#IUIC | SABBATH MORNING CLASS: The Beauty of God's People Runs Deep	5914
_GfIQUXqcP0	20220717	90	Gino Jennings is all bark no bite, everything sounds good until the purple and gold is outside!!	5164
lSkVBe55geU	20220411	6812	#IUIC | #WAKEUP THE LORD IS CALLING YOU | PART 2	37458
DRdlMe8ex2c	20220409	90	Bishop Nathanyel Message to Christians	212007
CNbv-5_t2sI	20220318	3209	#IUIC | WAKE UP!!! THE LORD IS CALLING YOU | PART 1	31595
Qj-nYSq9sS0	20220228	9820	#IUIC | OUR SPIRITUAL MAINTENANCE TO ENDEAVOR IN UNITY	20037
7Lsmv3rE73s	20211226	11672	#IUIC | HOLIDAY TEMPTATIONS	64666
u9OTqXnilx4	20211205	160	#IUIC | BITTER NEGRO BLUES | #AvailableNow on #IUICtv on demand	2600
0WgjJyQ9weY	20211119	3088	#IUIC | ALTHOUGH MY BEHAVIOR HAS CHANGED, I'M STILL FOLLOWING CHRIST	16319
a9H3lMfy-1E	20211102	66	#IUIC | CREFLO DOLLAR DESTROYS MARRIAGES | Available on #IUICTV APP	4099
_m2q1DuB8Tw	20211101	10482	#IUIC | #WITCHCRAFT SPIRITUAL WICKEDNESS IN HIGH PLACES	37704
olS_GlacdD0	20211025	9639	#IUIC | THE CITY OF ISRAEL || BISHOP YAWASAP	22864
1DPLsdVgcvU	20210913	7074	#IUIC | CLICK BAIT | #FIXXYAFACE #TGIF	7102
AbH_DBzsS8c	20210903	110	#IUIC | BEING MARRIED TO EVE | TRAILER	7288
feYeVMlULAI	20210720	8435	#IUIC | THE AMERICAN SYSTEM OF HYPOCRISY	23461
0fVnF3rHHfw	20210629	82	#IUIC | DELIVER US FROM EVIL #TRAILER | #IUICTV	6172
F_zg4UBZdeQ	20210619	86	#IUIC | RATED R FOR RETARD RELATIONSHIPS | DOWNLOAD #IUICTV APP	4811
Q4SUeYbo_fk	20210524	4557	#IUIC | THE INHERENT ROLE OF LEADERS	13758
n8xqmZN3VIs	20210514	2439	#IUIC | WHEN DREAMS BECOME NIGHTMARES | PART 3 FINALE	7215
ok5FW8zxVDw	20210507	2106	#IUIC | MARRYING OUTSIDE YOUR RACE	19749
7mYO0yX8TKA	20210503	3643	#IUIC | WHERE SINNERS FEAR TO TREAD | PART THREE	10909
P-YJMnefSSc	20210429	4261	#IUIC | WHERE SINNERS FEAR TO TREAD | PART TWO	13053
VInxUsHiO2g	20210427	7624	#IUIC | DEFLECTION IS DECEPTION BUT THE ELECT WON'T BE DECEIVED	15239
LbuZlx1tIw4	20210426	4436	#IUIC | WHERE SINNERS FEAR TO TREAD | PART ONE	15904
K15HaJ3f880	20210423	8581	#IUIC | WE ARE NOT A HATE GROUP | THE WAR AGAINST FALSE MEDIA PERSUASION | PART 2	19141
rXglkmd7-Eo	20210413	450	April 12, 2021	4264
1q3OeRGdZeE	20210329	2694	#IUIC | #APOLOGETICS MODERN HERODIANS & INQUISITORS | PART THREE	8735
HSe9UGknjbs	20210318	4069	#IUIC | #APOLOGETICS MODERN #HERODIANS & #INQUISITORS | PART 2	9468
aCAcxc01Yyg	20210311	3708	#IUIC | #APOLOGETICS MODERN #HERODIANS & #INQUISITORS | PART 1	12900
XjqPJViDFy0	20210304	3714	#IUIC | MY SPOUSE AINT RIGHT | PART 3	14508
6lXHLXpdqVg	20210226	5123	#IUIC | MY SPOUSE AIN'T RIGHT | PART TWO	23145
KbnsMIzz_n8	20210222	3843	#IUIC | MY SPOUSE AIN'T RIGHT | PART ONE	34710
z5rT8hmSjkI	20210204	3004	#IUIC | DAMN! I MARRIED A MONSTER | PART THREE	13076
LYioIFYYTrc	20210105	6875	#IUIC | BISHOP SINEGAL #CLUBHOUSE CONFUSION IN #EGYPT | SHOUTOUTTUESDAY	53247
CNqzGtVQucc	20210104	3999	#IUIC | DAMN I MARRIED A MONSTER | PART ONE	28125
VQJI80HT1gc	20210101	2323	#IUIC | GOOD NEWS FOR OUR OPPRESSED PEOPLE | PART THREE	17915
94kLbHPp0wc	20201228	2970	#IUIC | GOOD NEWS FOR OUR OPPRESSED PEOPLE | PART TWO	18524
IalD1ZclfVU	20201206	5659	#IUIC | WHITE SHEPHERD'S OVER BLACK SHEEP | PART TWO	28066
MaFFssT6Mqc	20201202	4425	#IUIC | WHITE SHEPHERD'S OVER BLACK SHEEP | PART ONE	24249
MK2hPW2wWKU	20201125	3138	#IUIC | CRUSHING COLOSSIANS HERESIES | PART TWO	17363
vO-ONHxWBMc	20201123	3124	#IUIC | CRUSHING COLOSSIANS HERESIES | PART ONE	22513
